Eastings,Northings,Zone
181408.6457,884206.4542,32N
181214.9987,884266.2195,32N
181022.1053,884323.9925,32N
180831.6061,884380.0575,32N
180635.7897,884437.7581,32N
180444.0894,884494.8336,32N
180252.1244,884551.6567,32N
180060.1903,884608.4523,32N
179867.2908,884663.5093,32N
179673.6986,884718.1587,32N
179480.1846,884764.8195,32N
179290.4875,884804.6804,32N
179093.857,884851.3542,32N
178896.4228,884894.8251,32N
178706.8269,884941.088,32N
178512.2458,884986.8857,32N
178309.0624,885034.7083,32N
178109.8556,885084.0679,32N
177910.581,885127.4514,32N
177713.31,885175.0309,32N
177518.309,885218.8385,32N
177323.4259,885263.5558,32N
177114.1615,885309.6385,32N
176763.7453,885341.8546,32N
176536.0766,885344.7043,32N
176336.4536,885350.0462,32N
176131.8157,885341.5108,32N
176028.0694,885424.7645,32N
175878.7305,885550.7663,32N
175820.0245,885595.7774,32N
175257.9392,885747.0799,32N
175072.7732,885819.6527,32N
174883.6944,885882.8589,32N
174694.0118,885946.2681,32N
174504.3293,886009.6762,32N
174363.7659,886056.6642,32N
174151.4687,886126.6192,32N
173918.0704,886171.7688,32N
173721.7099,886209.7538,32N
173525.3493,886247.7379,32N
173132.6273,886323.7082,32N
172936.2829,886361.6985,32N
172739.8664,886399.464,32N
172543.534,886437.6657,32N
172343.3706,886476.3854,32N
172172.1079,886569.8514,32N
171992.4045,886667.2906,32N
171817.2059,886761.7245,32N
171658.6573,886875.8103,32N
171499.1472,886996.999,32N
171356.0819,887105.6929,32N
171198.5733,887228.533,32N
171044.956,887346.184,32N
170846.0731,887492.6694,32N
170685.0386,887611.2777,32N
170526.5932,887727.9783,32N
170181.4009,887865.4087,32N
170017.4578,887930.5689,32N
169833.6571,888010.413,32N
169695.4138,888070.4658,32N
169465.5993,888169.5114,32N
169281.7707,888249.3425,32N
169095.8744,888330.3852,32N
168914.003,888409.5414,32N
168729.1847,888489.9079,32N
168549.0203,888568.9916,32N
168175.9499,888711.5892,32N
168004.1439,888777.2597,32N
167801.1309,888819.0154,32N
167501.9173,888879.0882,32N
167306.778,888897.3067,32N
167107.7111,888915.9707,32N
166948.2875,888872.2225,32N
166837.9853,888841.865,32N
166708.1774,888807.2187,32N
166372.5079,888671.7966,32N
166017.3429,888496.1991,32N
165660.3944,888318.6342,32N
165507.3794,888239.3319,32N
165275.8449,888123.7526,32N
165080.5025,888198.3316,32N
165024.2381,888292.0983,32N
164931.9196,888469.3485,32N
164912.4751,888513.1432,32N
164839.1829,888645.1396,32N
164808.1172,888738.64,32N
164726.9755,888920.5091,32N
164620.1913,889090.9306,32N
164517.6524,889258.4295,32N
164414.77,889426.3577,32N
164314.5204,889586.3479,32N
164188.7117,889575.3171,32N
164010.7697,889781.319,32N
163825.8369,890068.648,32N
163729.3556,890010.3674,32N
163688.874,889991.0393,32N
163464.1102,889945.5392,32N
163269.5582,889906.0187,32N
163073.4258,889866.2381,32N
